"Capital Asset Pricing Model- SAP, DBK, VOW3, DTE",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,SAP,DBK,VOW3,DTE,DAX Index,SAP Return ,DBK Return,VOW3 Return,DTE Return,DAX Return,,Assumptions,Value,,,,,,,,,
6/1/2020,123.641,8.464,143.3,14.945,"12,310.93",N/A,N/A,N/A,N/A,N/A,,Risk-Free Rate(Rf),2.40%,,,,,,,,,
7/1/2020,133.049,7.591,132.7,14.165,"12,313.36",8%,-10%,-7%,-5%,0%,,Market Return(Rm),1%,,,,,,,,,
8/1/2020,137.286,8.025,150.2,14.75,"12,945.38",3%,6%,13%,4%,5%,,,,,,,,,,,,
9/1/2020,132.035,7.19,149.2,14.29,"12,760.73",-4%,-10%,-1%,-3%,-1%,,,,,,,,,,,,
10/1/2020,90.99,7.901,133.6,13.07,"11,556.48",-31%,10%,-10%,-9%,-9%,,Asset,Sector,Beta(b),Expected Return( R ),Risk Profile,,,,,,
11/1/2020,101.423,9.343,155.5,15.115,"13,291.16",11%,18%,16%,16%,15%,,SAP,Technology,1.143305914,1.08%,High Risk (Aggressive),,,,,,
12/1/2020,106.634,8.949,170.1,14.955,"13,718.78",5%,-4%,9%,-1%,3%,,DBK,Financials,1.007380765,1.24%,Market Risk,,,,,,
1/1/2021,104.227,8.369,174.5,14.7,"13,432.87",-2%,-6%,3%,-2%,-2%,,VOW3,Consumer ,1.576030386,0.59%,Very High Risk,,,,,,
2/1/2021,101.502,10.214,193.7,15.03,"13,786.29",-3%,22%,11%,2%,3%,,DTE,Telecom,0.70071483,1.59%,Low Risk (Defensive),,,,,,
3/1/2021,103.849,10.188,309.2,17.17,"15,008.34",2%,0%,60%,14%,9%,,,,,,,,,,,,
4/1/2021,116.122,11.606,264.2,16,"15,135.91",12%,14%,-15%,-7%,1%,,,,,,,,,,,,
5/1/2021,112.9,12.192,291.6,16.994,"15,421.13",-3%,5%,10%,6%,2%,,,,,,,,,,,,
6/1/2021,118.191,10.986,276.8,17.812,"15,531.04",5%,-10%,-5%,5%,1%,,,,,,,,,,,,
7/1/2021,120.18,10.658,280,17.506,"15,544.39",2%,-3%,1%,-2%,0%,,,,,,,,,,,,
